attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_linear_svm,linear_svm,GroupKFold,1,5,768,1304,326,1304,326,0.6165644171779141,0.6177111414945675,0.3000666762245579
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_linear_svm,linear_svm,GroupKFold,2,5,768,1304,326,1304,326,0.6625766871165644,0.6612175660385495,0.3244163470273368
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_linear_svm,linear_svm,GroupKFold,3,5,768,1304,326,1304,326,0.6288343558282209,0.6292781569625914,0.3009328848524829
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_linear_svm,linear_svm,GroupKFold,4,5,768,1304,326,1304,326,0.647239263803681,0.6488765349773093,0.31141467821795693
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_linear_svm,linear_svm,GroupKFold,5,5,768,1304,326,1304,326,0.6134969325153374,0.603551752645226,0.38550326593686285
