attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_random_forest,random_forest,StratifiedGroupKFold,1,5,768,475,119,475,119,0.8319327731092437,0.8105627227416788,0.5498174230568597
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_random_forest,random_forest,StratifiedGroupKFold,2,5,768,475,119,475,119,0.865546218487395,0.845259843067662,0.5800552104899931
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_random_forest,random_forest,StratifiedGroupKFold,3,5,768,476,118,476,118,0.8389830508474576,0.8189177379665616,0.5536559626111864
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_random_forest,random_forest,StratifiedGroupKFold,4,5,768,475,119,475,119,0.8571428571428571,0.8385324861651978,0.567479674796748
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_random_forest,random_forest,StratifiedGroupKFold,5,5,768,475,119,475,119,0.8739495798319328,0.8573627186723747,0.5816352201257862
