attribute,target_column,target_file,feature_file,task_type,strategy,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,StratifiedGroupKFold,1,5,768,489,123,489,123,0.8699186991869918,0.8678109003312254,0.5884656084656086
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,StratifiedGroupKFold,2,5,768,489,123,489,123,0.8373983739837398,0.8300352814848904,0.39138848572810836
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,StratifiedGroupKFold,3,5,768,490,122,490,122,0.860655737704918,0.8639344262295082,0.4447619047619048
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,StratifiedGroupKFold,4,5,768,490,122,490,122,0.8688524590163934,0.8687301044161717,0.4733459835547122
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,StratifiedGroupKFold,5,5,768,490,122,490,122,0.8114754098360656,0.808953341740227,0.3737179487179487
