attribute,target_column,target_file,feature_file,task_type,strategy,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,1,5,768,458,115,458,115,0.6608695652173913,0.6618299078777883,0.42753252728713476
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,2,5,768,458,115,458,115,0.6695652173913044,0.6816712667745314,0.3038812220424479
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,3,5,768,458,115,458,115,0.7565217391304347,0.7687345689059529,0.549868711048308
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,4,5,768,459,114,459,114,0.7368421052631579,0.730776271023949,0.4301997949056773
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,5,5,768,459,114,459,114,0.7192982456140351,0.729152099995211,0.37703215043979377
