attribute,target_column,target_file,feature_file,task_type,strategy,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,1,5,768,1339,335,1339,335,0.9074626865671642,0.9057818178073471,0.5263614594748164
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,2,5,768,1339,335,1339,335,0.9074626865671642,0.9100677258866956,0.4750752688172043
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,3,5,768,1339,335,1339,335,0.9044776119402985,0.908498513787941,0.6577543498373474
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,4,5,768,1339,335,1339,335,0.9134328358208955,0.9234611857727055,0.5439885156086008
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,5,5,768,1340,334,1340,334,0.9131736526946108,0.9103567534705258,0.6416213416213417
