attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,1,5,768,628,157,628,157,0.7388535031847133,0.7308227420822448,0.4509600614439324
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,2,5,768,628,157,628,157,0.7006369426751592,0.7055609305172365,0.37759909438372996
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,3,5,768,628,157,628,157,0.8280254777070064,0.8289315693266093,0.48290557698802383
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,4,5,768,628,157,628,157,0.802547770700637,0.8063761402740669,0.49509296622256227
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,5,5,768,628,157,628,157,0.7452229299363057,0.7275916642690474,0.324059584733209
