attribute,target_column,target_file,feature_file,task_type,strategy,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
length_bin,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,1,5,768,1279,320,1279,320,0.50625,0.5107452329017732,0.24511367545423277
length_bin,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,2,5,768,1279,320,1279,320,0.4625,0.47141118852018477,0.2700737357236221
length_bin,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,3,5,768,1279,320,1279,320,0.50625,0.4990797193587144,0.22880915662073714
length_bin,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,4,5,768,1279,320,1279,320,0.45,0.4519324464268242,0.24055732489022874
length_bin,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,5,5,768,1280,319,1280,319,0.5015673981191222,0.5005722952494828,0.32444798977016465
