attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
length_bin,length_bin,data/processed/train/length_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,1,5,768,1279,320,1279,320,0.45625,0.46945908231025035,0.2666208703149256
length_bin,length_bin,data/processed/train/length_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,2,5,768,1279,320,1279,320,0.5,0.5113477219961156,0.3431846063016079
length_bin,length_bin,data/processed/train/length_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,3,5,768,1279,320,1279,320,0.459375,0.4622263709443235,0.1974501566944502
length_bin,length_bin,data/processed/train/length_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,4,5,768,1279,320,1279,320,0.484375,0.49411441756992647,0.2221081951511665
length_bin,length_bin,data/processed/train/length_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,5,5,768,1280,319,1280,319,0.44200626959247646,0.447885354275909,0.26165176912459526
