attribute,target_column,target_file,feature_file,task_type,strategy,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,1,5,768,23,6,23,6,0.3333333333333333,0.26666666666666666,0.26666666666666666
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,2,5,768,23,6,23,6,0.5,0.5555555555555555,0.4444444444444444
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,3,5,768,23,6,23,6,0.5,0.45714285714285713,0.4857142857142857
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,4,5,768,23,6,23,6,0.5,0.5,0.6
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,GroupKFold,5,5,768,24,5,24,5,0.4,0.44000000000000006,0.3
